eco	name	pgn	uci_moves	games
A00	Kádas Opening: Kádas Gambit	1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3	['h2h4', 'd7d5', 'd2d4', 'c7c5', 'g1f3', 'c5d4', 'c2c3']	1418
A00	Kádas Opening: Kádas Gambit	1. h4 e5 2. d4 exd4 3. c3	['h2h4', 'e7e5', 'd2d4', 'e5d4', 'c2c3']	2954
A00	Kádas Opening: Myers Variation	1. h4 d5 2. d4 c5 3. e4	['h2h4', 'd7d5', 'd2d4', 'c7c5', 'e2e4']	637
A00	Kádas Opening: Schneider Gambit	1. h4 g5	['h2h4', 'g7g5']	28038
A00	Kádas Opening: Steinbok Gambit	1. h4 f5 2. e4 fxe4 3. d3	['h2h4', 'f7f5', 'e2e4', 'f5e4', 'd2d3']	288
A00	Lasker Simul Special	1. g3 h5	['g2g3', 'h7h5']	880952
A00	Mieses Opening	1. d3	['d2d3']	43529620
A00	Mieses Opening: Myers Spike Attack	1. d3 g6 2. g4	['d2d3', 'g7g6', 'g2g4']	4645
A00	Mieses Opening: Reversed Rat	1. d3 e5	['d2d3', 'e7e5']	9168540
A00	Polish Opening	1. b4	['b2b4']	19910505
A00	Polish Opening: Baltic Defense	1. b4 d5 2. Bb2 Bf5	['b2b4', 'd7d5', 'c1b2', 'c8f5']	317861
A00	Polish Opening: Birmingham Gambit	1. b4 c5	['b2b4', 'c7c5']	540613
A00	Polish Opening: Bugayev Advance Variation	1. b4 e5 2. Bb2 f6 3. b5	['b2b4', 'e7e5', 'c1b2', 'f7f6', 'b4b5']	211668
A00	Polish Opening: Bugayev Attack	1. b4 e5 2. a3	['b2b4', 'e7e5', 'a2a3']	777843
A00	Polish Opening: Czech Defense	1. b4 e5 2. Bb2 d6	['b2b4', 'e7e5', 'c1b2', 'd7d6']	1908659
A00	Polish Opening: Dutch Defense	1. b4 f5	['b2b4', 'f7f5']	208962
A00	Polish Opening: German Defense	1. b4 d5 2. Bb2 Qd6	['b2b4', 'd7d5', 'c1b2', 'd8d6']	48725
A00	Polish Opening: Grigorian Variation	1. b4 Nc6	['b2b4', 'b8c6']	209227
A00	Polish Opening: Karniewski Variation	1. b4 Nh6	['b2b4', 'g8h6']	4964
A00	Polish Opening: King's Indian Variation	1. b4 Nf6 2. Bb2 g6	['b2b4', 'g8f6', 'c1b2', 'g7g6']	1181181
A00	Polish Opening: King's Indian Variation, Schiffler Attack	1. b4 Nf6 2. Bb2 g6 3. e4	['b2b4', 'g8f6', 'c1b2', 'g7g6', 'e2e4']	94733
A00	Polish Opening: King's Indian Variation, Sokolsky Attack	1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4	['b2b4', 'g8f6', 'c1b2', 'g7g6', 'c2c4', 'f8g7', 'e2e3', 'd7d6', 'g1f3', 'e8g8', 'd2d4']	69061
A00	Polish Opening: Myers Variation	1. b4 d5 2. Bb2 c6 3. a4	['b2b4', 'd7d5', 'c1b2', 'c7c6', 'a2a4']	60355
A00	Polish Opening: Outflank Variation	1. b4 c6	['b2b4', 'c7c6']	767599
A00	Polish Opening: Queen's Indian Variation	1. b4 e6 2. Bb2 Nf6 3. b5 b6	['b2b4', 'e7e6', 'c1b2', 'g8f6', 'b4b5', 'b7b6']	71981
A00	Polish Opening: Queenside Defense	1. b4 e6 2. Bb2 Nf6 3. b5 a6	['b2b4', 'e7e6', 'c1b2', 'g8f6', 'b4b5', 'a7a6']	87595
A00	Polish Opening: Rooks Swap Line	1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1	['b2b4', 'e7e6', 'c1b2', 'g8f6', 'b4b5', 'a7a6', 'a2a4', 'a6b5', 'a4b5', 'a8a1', 'b2a1']	52028
A00	Polish Opening: Schiffler-Sokolsky Variation	1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3	['b2b4', 'e7e6', 'c1b2', 'g8f6', 'b4b5', 'd7d5', 'e2e3']	424455
A00	Polish Opening: Schuehler Gambit	1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4	['b2b4', 'c7c6', 'c1b2', 'a7a5', 'b4b5', 'c6b5', 'e2e4']	969
A00	Polish Opening: Symmetrical Variation	1. b4 b5	['b2b4', 'b7b5']	230109
A00	Polish Opening: Tartakower Gambit	1. b4 e5 2. Bb2 f6 3. e4	['b2b4', 'e7e5', 'c1b2', 'f7f6', 'e2e4']	49472
A00	Polish Opening: Wolferts Gambit	1. b4 e5 2. Bb2 c5	['b2b4', 'e7e5', 'c1b2', 'c7c5']	10978
A00	Saragossa Opening	1. c3	['c2c3']	14826782
A00	Sodium Attack	1. Na3	['b1a3']	511814
A00	Sodium Attack: Chenoboskion Variation	1. Na3 g6 2. g4	['b1a3', 'g7g6', 'g2g4']	241
A00	Sodium Attack: Durkin Gambit	1. Na3 e5 2. Nc4 Nc6 3. e4 f5	['b1a3', 'e7e5', 'a3c4', 'b8c6', 'e2e4', 'f7f5']	279
A00	Valencia Opening	1. d3 e5 2. Nd2	['d2d3', 'e7e5', 'b1d2']	548604
A00	Van Geet Opening	1. Nc3	['b1c3']	28974341
A00	Van Geet Opening: Battambang Variation	1. a3 e5 2. Nc3	['a2a3', 'e7e5', 'b1c3']	137800
A00	Van Geet Opening: Billockus-Johansen Gambit	1. Nc3 e5 2. Nf3 Bc5	['b1c3', 'e7e5', 'g1f3', 'f8c5']	111813
A00	Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack	1. Nc3 d5 2. e4 c6 3. h3	['b1c3', 'd7d5', 'e2e4', 'c7c6', 'h2h3']	21608
A00	Van Geet Opening: Damhaug Gambit	1. Nc3 d5 2. f4 e5	['b1c3', 'd7d5', 'f2f4', 'e7e5']	4352
A00	Van Geet Opening: Dougherty Gambit	1. Nc3 d5 2. e4 dxe4 3. f3	['b1c3', 'd7d5', 'e2e4', 'd5e4', 'f2f3']	123879
A00	Van Geet Opening: Dunst-Perrenet Gambit	1. Nc3 d5 2. e4 dxe4 3. d3	['b1c3', 'd7d5', 'e2e4', 'd5e4', 'd2d3']	1140690
A00	Van Geet Opening: Düsseldorf Gambit	1. Nc3 c5 2. b4	['b1c3', 'c7c5', 'b2b4']	2874
A00	Van Geet Opening: Gladbacher Gambit	1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3	['b1c3', 'e7e5', 'b2b3', 'd7d5', 'e2e4', 'd5e4', 'd2d3']	606
A00	Van Geet Opening: Hector Gambit	1. Nc3 d5 2. e4 dxe4 3. Bc4	['b1c3', 'd7d5', 'e2e4', 'd5e4', 'f1c4']	84312
A00	Van Geet Opening: Hergert Gambit	1. Nc3 d6 2. f4 e5 3. fxe5 Nc6	['b1c3', 'd7d6', 'f2f4', 'e7e5', 'f4e5', 'b8c6']	3148
A00	Van Geet Opening: Hulsemann Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Be6	['b1c3', 'e7e5', 'e2e3', 'd7d5', 'd1h5', 'c8e6']	1033
A00	Van Geet Opening: Jendrossek Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4	['b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'f7f5', 'e4f2', 'g8f6', 'g1f3', 'c7c5', 'b2b4']	3
A00	Van Geet Opening: Kluever Gambit	1. Nc3 f5 2. e4 fxe4 3. d3	['b1c3', 'f7f5', 'e2e4', 'f5e4', 'd2d3']	40135
A00	Van Geet Opening: Laroche Gambit	1. Nc3 b5	['b1c3', 'b7b5']	125547
A00	Van Geet Opening: Liebig Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Nf6	['b1c3', 'e7e5', 'e2e3', 'd7d5', 'd1h5', 'g8f6']	14077
A00	Van Geet Opening: Melleby Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 c5	['b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'c7c5']	2327
A00	Van Geet Opening: Myers Attack	1. Nc3 g6 2. h4	['b1c3', 'g7g6', 'h2h4']	33872
A00	Van Geet Opening: Napoleon Attack	1. Nc3 e5 2. Nf3 Nc6 3. d4	['b1c3', 'e7e5', 'g1f3', 'b8c6', 'd2d4']	668958
A00	Van Geet Opening: Novosibirsk Variation	1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4	['b1c3', 'c7c5', 'd2d4', 'c5d4', 'd1d4', 'b8c6', 'd4h4']	121030
A00	Van Geet Opening: Nowokunski Gambit	1. Nc3 e5 2. f4 exf4 3. e4	['b1c3', 'e7e5', 'f2f4', 'e5f4', 'e2e4']	2030
A00	Van Geet Opening: Pfeiffer Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5	['b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'e7e5']	619
A00	Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3	['b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'e7e5', 'g1f3']	91
A00	Van Geet Opening: Reversed Nimzowitsch	1. Nc3 e5	['b1c3', 'e7e5']	6998966
A00	Van Geet Opening: Reversed Scandinavian	1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4	['b1c3', 'e7e5', 'd2d4', 'e5d4', 'd1d4', 'b8c6', 'd4a4']	105911
A00	Van Geet Opening: Sicilian Two Knights	1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4	['b1c3', 'c7c5', 'g1f3', 'b8c6', 'd2d4', 'c5d4', 'f3d4']	281586
A00	Van Geet Opening: Sleipnir Gambit	1. Nc3 d5 2. e3 e5 3. d4 Bb4	['b1c3', 'd7d5', 'e2e3', 'e7e5', 'd2d4', 'f8b4']	7248
A00	Van Geet Opening: Twyble Attack	1. Nc3 c5 2. Rb1	['b1c3', 'c7c5', 'a1b1']	717
A00	Van Geet Opening: Tübingen Gambit	1. Nc3 Nf6 2. g4	['b1c3', 'g8f6', 'g2g4']	37120
A00	Van Geet Opening: Venezolana Variation	1. Nc3 d5 2. d3 Nf6 3. g3	['b1c3', 'd7d5', 'd2d3', 'g8f6', 'g2g3']	18833
A00	Van Geet Opening: Warsteiner Gambit	1. Nc3 d5 2. f4 g5	['b1c3', 'd7d5', 'f2f4', 'g7g5']	144
A00	Van't Kruijs Opening	1. e3	['e2e3']	104599165
A00	Van't Kruijs Opening: Bouncing Bishop Variation	1. e3 e5 2. Bc4 b5 3. Bb3	['e2e3', 'e7e5', 'f1c4', 'b7b5', 'c4b3']	960
A00	Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation	1. e3 e5 2. Nc3 Nf6 3. f4 exf4 4. Nf3	['e2e3', 'e7e5', 'b1c3', 'g8f6', 'f2f4', 'e5f4', 'g1f3']	1868
A00	Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation	1. e3 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3	['e2e3', 'e7e5', 'b1c3', 'b8c6', 'f2f4', 'e5f4', 'g1f3']	1829
A00	Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation	1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3	['e2e3', 'e7e5', 'b1c3', 'd7d5', 'f2f4', 'e5f4', 'g1f3']	2053
A00	Venezolana Opening	1. d3 c5 2. Nc3 Nc6 3. g3	['d2d3', 'c7c5', 'b1c3', 'b8c6', 'g2g3']	5565
A00	Ware Opening	1. a4	['a2a4']	4140772
A00	Ware Opening: Meadow Hay Trap	1. a4 e5 2. Ra3	['a2a4', 'e7e5', 'a1a3']	118883
A00	Ware Opening: Ware Gambit	1. a4 e5 2. a5 d5 3. e3 f5 4. a6	['a2a4', 'e7e5', 'a4a5', 'd7d5', 'e2e3', 'f7f5', 'a5a6']	474
A00	Ware Opening: Wing Gambit	1. a4 b5 2. axb5 Bb7	['a2a4', 'b7b5', 'a4b5', 'c8b7']	964
A01	Nimzo-Larsen Attack	1. b3	['b2b3']	71203176
A01	Nimzo-Larsen Attack: Classical Variation	1. b3 d5	['b2b3', 'd7d5']	16583657
A01	Nimzo-Larsen Attack: Dutch Variation	1. b3 f5	['b2b3', 'f7f5']	645559
A01	Nimzo-Larsen Attack: English Variation	1. b3 c5	['b2b3', 'c7c5']	4752630
A01	Nimzo-Larsen Attack: Graz Attack	1. b3 d5 2. Ba3	['b2b3', 'd7d5', 'c1a3']	212948
A01	Nimzo-Larsen Attack: Indian Variation	1. b3 Nf6	['b2b3', 'g8f6']	8141125
A01	Nimzo-Larsen Attack: Modern Variation	1. b3 e5	['b2b3', 'e7e5']	19600105
A01	Nimzo-Larsen Attack: Modern Variation	1. b3 e5 2. Bb2 Nc6	['b2b3', 'e7e5', 'c1b2', 'b8c6']	10232009
A01	Nimzo-Larsen Attack: Modern Variation	1. b3 e5 2. Bb2 Nc6 3. e3	['b2b3', 'e7e5', 'c1b2', 'b8c6', 'e2e3']	5341110
A01	Nimzo-Larsen Attack: Pachman Gambit	1. b3 e5 2. Bb2 Nc6 3. f4	['b2b3', 'e7e5', 'c1b2', 'b8c6', 'f2f4']	71236
A01	Nimzo-Larsen Attack: Polish Variation	1. b3 b5	['b2b3', 'b7b5']	166682
A01	Nimzo-Larsen Attack: Ringelbach Gambit	1. b3 f5 2. Bb2 e6 3. e4	['b2b3', 'f7f5', 'c1b2', 'e7e6', 'e2e4']	12862
A01	Nimzo-Larsen Attack: Spike Variation	1. b3 Nf6 2. Bb2 g6 3. g4	['b2b3', 'g8f6', 'c1b2', 'g7g6', 'g2g4']	323080
A01	Nimzo-Larsen Attack: Symmetrical Variation	1. b3 b6	['b2b3', 'b7b6']	2473857
A02	Bird Opening	1. f4	['f2f4']	43206874
A02	Bird Opening	1. f4 Nf6	['f2f4', 'g8f6']	2841170
A02	Bird Opening: Batavo-Polish Attack	1. f4 Nf6 2. Nf3 g6 3. b4	['f2f4', 'g8f6', 'g1f3', 'g7g6', 'b2b4']	1070
A02	Bird Opening: Double Duck Formation	1. f4 f5 2. d4 d5	['f2f4', 'f7f5', 'd2d4', 'd7d5']	199800
A02	Bird Opening: From's Gambit	1. f4 e5	['f2f4', 'e7e5']	4442399
A02	Bird Opening: From's Gambit, Bahr Gambit	1. f4 e5 2. Nc3	['f2f4', 'e7e5', 'b1c3']	64829
A02	Bird Opening: From's Gambit, Langheld Gambit	1. f4 e5 2. fxe5 d6 3. exd6 Nf6	['f2f4', 'e7e5', 'f4e5', 'd7d6', 'e5d6', 'g8f6']	11585
A02	Bird Opening: From's Gambit, Lasker Variation	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5	['f2f4', 'e7e5', 'f4e5', 'd7d6', 'e5d6', 'f8d6', 'g1f3', 'g7g5']	368182
A02	Bird Opening: From's Gambit, Lipke Variation	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4	['f2f4', 'e7e5', 'f4e5', 'd7d6', 'e5d6', 'f8d6', 'g1f3', 'g8h6', 'd2d4']	1665
A02	Bird Opening: Hobbs Gambit	1. f4 g5	['f2f4', 'g7g5']	123965
A02	Bird Opening: Hobbs-Zilbermints Gambit	1. f4 h6 2. Nf3 g5	['f2f4', 'h7h6', 'g1f3', 'g7g5']	9184
A02	Bird Opening: Horsefly Defense	1. f4 Nh6	['f2f4', 'g8h6']	52324
A02	Bird Opening: Lasker Gambit	1. f4 e5 2. fxe5 f6	['f2f4', 'e7e5', 'f4e5', 'f7f6']	84481
A02	Bird Opening: Mujannah	1. f4 Nf6 2. c4	['f2f4', 'g8f6', 'c2c4']	61922
A02	Bird Opening: Myers Defense	1. f4 b5	['f2f4', 'b7b5']	70120
A02	Bird Opening: Platz Gambit	1. f4 e5 2. fxe5 Ne7	['f2f4', 'e7e5', 'f4e5', 'g8e7']	4027
A02	Bird Opening: Schlechter Gambit	1. f4 e5 2. fxe5 Nc6	['f2f4', 'e7e5', 'f4e5', 'b8c6']	522542
A02	Bird Opening: Siegener Gambit	1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3	['f2f4', 'e7e5', 'd2d4', 'e5d4', 'g1f3', 'c7c5', 'c2c3']	757
A02	Bird Opening: Swiss Gambit	1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4	['f2f4', 'f7f5', 'e2e4', 'f5e4', 'b1c3', 'g8f6', 'g2g4']	512
A02	Bird Opening: Wagner-Zwitersch Gambit	1. f4 f5 2. e4	['f2f4', 'f7f5', 'e2e4']	158107
A03	Bird Opening: Dutch Variation	1. f4 d5	['f2f4', 'd7d5']	15090416
A03	Bird Opening: Dutch Variation, Dudweiler Gambit	1. f4 d5 2. g4	['f2f4', 'd7d5', 'g2g4']	118719
A03	Bird Opening: Lasker Variation	1. f4 d5 2. Nf3 Nf6 3. e3 c5	['f2f4', 'd7d5', 'g1f3', 'g8f6', 'e2e3', 'c7c5']	387247
A03	Bird Opening: Sturm Gambit	1. f4 d5 2. c4	['f2f4', 'd7d5', 'c2c4']	191984
A03	Bird Opening: Thomas Gambit	1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3	['f2f4', 'd7d5', 'b2b3', 'g8f6', 'c1b2', 'd5d4', 'g1f3', 'c7c5', 'e2e3']	3645
A03	Bird Opening: Williams Gambit	1. f4 d5 2. e4	['f2f4', 'd7d5', 'e2e4']	2192376
A03	Bird Opening: Williams Gambit	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2	['f2f4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6', 'd1e2']	86749
A03	Bird Opening: Williams-Zilbermints Gambit	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2	['f2f4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6', 'g1e2']	60902
